Candidate,Election Status,Status of Candidate,Specific Party,General Party,Election Jurisdiction,Election Year,Election Type,Office Sought,Incumbency Status,# of Records,Total $
"HILL, THOMAS B",LOST-GENERAL,LOST,LIBERTARIAN,THIRD-PARTY,NC,2010,STANDARD,US HOUSE DISTRICT NC 008,CHALLENGER,0.00,0.00
"HUDDLESTON, LOU",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 008,OPEN,243.00,209894.00
"JOHNSON, HAROLD NELSON",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 008,CHALLENGER,529.00,1076451.00
"JORDAN, HAL",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 008,OPEN,96.00,209029.00
"KISSELL, LARRY W",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NC,2010,STANDARD,US HOUSE DISTRICT NC 008,INCUMBENT,1061.00,1120022.00
"SHAKIR, NANCY CLARK",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2010,STANDARD,US HOUSE DISTRICT NC 008,CHALLENGER,30.00,5294.00
"DOCTOR, JEFF",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2010,STANDARD,US HOUSE DISTRICT NC 009,CHALLENGER,148.00,111256.00
"MYRICK, SUE",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 009,INCUMBENT,1370.00,1032465.00
"BOLDON, DAVID MICHAEL",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 010,CHALLENGER,0.00,0.00
"FISCHER, ANNE N",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2010,STANDARD,US HOUSE DISTRICT NC 010,OPEN,0.00,0.00
"GREGORY, JEFF",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2010,STANDARD,US HOUSE DISTRICT NC 010,CHALLENGER,0.00,0.00
"KEADLE, SCOTT",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 010,CHALLENGER,67.00,75548.00
"MCHENRY, PATRICK TIMOTHY",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 010,INCUMBENT,1026.00,809221.00
"PATTERSON, VANCE MARTIN",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 010,CHALLENGER,18.00,283230.00
"EICHENBAUM, DAN",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 011,OPEN,39.00,139829.00
